Latency,Type,Duration
1,NM,7292
7294,RH_close,374
8744,RH_open,459
9204,NM,24241
33446,RH_close,406
35059,RH_open,589
35649,NM,27792
63442,RH_close,303
64943,RH_open,1017
65961,NM,26388
92350,RH_close,326
94077,RH_open,649
94727,NM,28200
122928,RH_close,344
124521,RH_open,945
125467,NM,27627
153095,RH_close,304
154674,RH_open,437
155112,NM,23119
178232,RH_close,284
179723,RH_open,733
180457,NM,32056
212514,RH_close,272
214308,RH_open,642
214951,NM,27312
242264,RH_close,334
244235,RH_open,618
244854,NM,27028
271883,RH_close,405
273649,RH_open,719
274369,NM,26868
301238,RH_close,324
302947,RH_open,581
303529,NM,27593
331123,RH_close,395
332858,RH_open,671
333530,NM,27379
360910,RH_close,374
362643,RH_open,1147
363791,NM,27740
391532,RH_close,303
393194,RH_open,581
393776,NM,25128
418905,RH_close,343
420701,RH_open,743
421445,NM,28253
449699,RH_close,427
451477,RH_open,833
452311,NM,25320
477632,RH_close,396
479449,RH_open,802
480252,NM,27901
508154,RH_close,364
509853,RH_open,588
510442,NM,27084
537527,RH_close,313
539334,RH_open,408
539743,NM,27915
567659,RH_close,395
569525,RH_open,825
570351,NM,26575
596927,RH_close,284
598667,RH_open,588
599256,NM,13189
612446,RH_close,369
614241,RH_open,1177
615419,NM,7087
