Latency,Type,Duration
1,NM,4850
4852,LH_close,618
6820,LH_open,831
7652,NM,26679
34332,LH_close,629
36265,LH_open,947
37213,NM,25904
63118,LH_close,649
65532,LH_open,1393
66926,NM,28230
95157,LH_close,616
97167,LH_open,976
98144,NM,33509
131654,LH_close,538
133891,LH_open,984
134876,NM,18296
153173,LH_close,496
155274,LH_open,703
155978,NM,26557
182536,LH_close,557
184737,LH_open,934
185672,NM,27635
213308,LH_close,496
215073,LH_open,680
215754,NM,26224
241979,LH_close,526
244028,LH_open,579
244608,NM,28047
272656,LH_close,466
274412,LH_open,741
275154,NM,27880
303035,LH_close,587
304861,LH_open,633
305495,NM,26096
331592,LH_close,527
333409,LH_open,692
334102,NM,29493
363596,LH_close,487
365314,LH_open,793
366108,NM,25008
391117,LH_close,498
392689,LH_open,663
393353,NM,27467
420821,LH_close,496
422708,LH_open,641
423350,NM,27476
450827,LH_close,496
452865,LH_open,833
453699,NM,26753
480453,LH_close,527
482340,LH_open,642
482983,NM,27438
510422,LH_close,488
511905,LH_open,862
512768,NM,27402
540171,LH_close,467
541562,LH_open,589
542152,NM,26757
568910,LH_close,496
570688,LH_open,934
571623,NM,27629
599253,LH_close,500
601115,LH_open,650
601766,NM,7853
