Latency,Type,Duration
1,NM,4061
4063,LH_close,709
6721,LH_open,1926
8648,NM,13868
22517,LH_close,983
25336,LH_open,2110
27447,NM,25143
52591,LH_close,872
56010,LH_open,1542
57553,NM,25398
82952,LH_close,964
86025,LH_open,1299
87325,NM,25154
112480,LH_close,1299
116213,LH_open,3218
119432,NM,23176
142609,LH_close,1358
146180,LH_open,1359
147540,NM,25211
172752,LH_close,896
175826,LH_open,2750
178577,NM,23967
202545,LH_close,933
205943,LH_open,1928
207872,NM,24979
232852,LH_close,841
236595,LH_open,1643
238239,NM,24287
262527,LH_close,1054
266553,LH_open,1687
268241,NM,24132
292374,LH_close,902
296737,LH_open,2285
299023,NM,23337
322361,LH_close,836
325586,LH_open,1329
326916,NM,25537
352454,LH_close,932
356054,LH_open,1674
357729,NM,24654
382384,LH_close,800
385274,LH_open,1207
386482,NM,25702
412185,LH_close,709
416029,LH_open,1086
417116,NM,25122
442239,LH_close,769
445027,LH_open,1230
446258,NM,26093
472352,LH_close,598
474757,LH_open,801
475559,NM,26516
502076,LH_close,678
505139,LH_open,1147
506287,NM,25572
531860,LH_close,739
534619,LH_open,1045
535665,NM,26015
561681,LH_close,780
564247,LH_open,841
565089,NM,27788
592878,LH_close,750
595982,LH_open,1179
597162,NM,7339
