Latency,Type,Duration
1,NM,3937
3939,LH_close,435
6403,LH_open,742
7146,NM,24386
31533,LH_close,831
33441,LH_open,396
33838,NM,27357
61196,LH_close,649
62606,LH_open,436
63043,NM,28581
91625,LH_close,466
92760,LH_open,366
93127,NM,28896
122024,LH_close,618
123159,LH_open,395
123555,NM,31031
154587,LH_close,496
155479,LH_open,365
155845,NM,25110
180956,LH_close,739
182060,LH_open,346
182407,NM,28384
210792,LH_close,495
212147,LH_open,1009
213157,NM,27538
240696,LH_close,952
242875,LH_open,802
243678,NM,27177
270856,LH_close,1208
272928,LH_open,833
273762,NM,27075
300838,LH_close,923
302502,LH_open,894
303397,NM,27362
330760,LH_close,770
332241,LH_open,1055
333297,NM,27523
360821,LH_close,800
362392,LH_open,802
363195,NM,29019
392215,LH_close,679
393566,LH_open,925
394492,NM,25822
420315,LH_close,740
421765,LH_open,864
422630,NM,27788
450419,LH_close,738
451858,LH_open,983
452842,NM,27709
480552,LH_close,648
481931,LH_open,801
482733,NM,27718
510452,LH_close,679
511887,LH_open,1015
512903,NM,27116
540020,LH_close,709
541338,LH_open,864
542203,NM,27712
569916,LH_close,708
571334,LH_open,630
571965,NM,28504
600470,LH_close,648
601849,LH_open,1065
602915,NM,6889
