Latency,Type,Duration
1,NM,6894
6896,RH_close,547
9463,RH_open,618
10082,NM,24717
34800,RH_close,492
37755,RH_open,782
38538,NM,25553
64092,RH_close,435
67319,RH_open,751
68071,NM,26283
94355,RH_close,497
97552,RH_open,779
98332,NM,26497
124830,RH_close,588
127913,RH_open,802
128716,NM,25922
154639,RH_close,497
157520,RH_open,703
158224,NM,26015
184240,RH_close,496
187618,RH_open,702
188321,NM,26102
214424,RH_close,638
217172,RH_open,680
217853,NM,26686
244540,RH_close,547
247106,RH_open,714
247821,NM,26459
274281,RH_close,618
277232,RH_open,956
278189,NM,26219
304409,RH_close,494
307228,RH_open,710
307939,NM,25927
333867,RH_close,720
336413,RH_open,680
337094,NM,26611
363706,RH_close,515
366737,RH_open,467
367205,NM,27054
394260,RH_close,588
397486,RH_open,497
397984,NM,25833
423818,RH_close,557
427317,RH_open,590
427908,NM,26216
454125,RH_close,772
457442,RH_open,527
457970,NM,26123
484094,RH_close,567
487227,RH_open,650
487878,NM,26000
513879,RH_close,617
517462,RH_open,619
518082,NM,25937
544020,RH_close,618
547337,RH_open,650
547988,NM,25729
573718,RH_close,518
576557,RH_open,781
577339,NM,27032
604372,RH_close,485
607403,RH_open,528
607932,NM,5284
