Latency,Type,Duration
1,NM,4372
4374,RH_close,466
7195,RH_open,589
7785,NM,24469
32255,RH_close,505
34435,RH_open,862
35298,NM,26685
61984,RH_close,556
65493,RH_open,1014
66508,NM,25681
92190,RH_close,497
96207,RH_open,559
96767,NM,25554
122322,RH_close,466
125609,RH_open,872
126482,NM,25934
152417,RH_close,527
155449,RH_open,955
156405,NM,25840
182246,RH_close,435
185318,RH_open,498
185817,NM,26354
212172,RH_close,404
215713,RH_open,740
216454,NM,25625
242080,RH_close,456
244403,RH_open,617
245021,NM,28206
273228,RH_close,497
276576,RH_open,1146
277723,NM,24300
302024,RH_close,588
304825,RH_open,1056
305882,NM,26146
332029,RH_close,487
335620,RH_open,994
336615,NM,26399
363015,RH_close,496
366314,RH_open,619
366934,NM,25190
392125,RH_close,317
395638,RH_open,588
396227,NM,25618
421846,RH_close,464
425677,RH_open,1391
427069,NM,23650
450720,RH_close,780
454414,RH_open,841
455256,NM,26211
481468,RH_close,586
485271,RH_open,932
486204,NM,33131
519336,RH_close,709
524042,RH_open,1399
525442,NM,15587
541030,RH_close,597
544844,RH_open,1338
546183,NM,25042
571226,RH_close,709
574786,RH_open,1513
576300,NM,25146
601447,RH_close,465
604165,RH_open,588
604754,NM,5949
